"","NTm1","Tm1","NTp1","Tp1","Ym1","Yp1","Yo1"
"NTm1",0.5,0,0,0,0.4040404040404,0,0.004040404040404
"Tm1",0,0.5,0,0,0.4040404040404,0,0.404040404040404
"NTp1",0,0,0.5,0,0,0.4040404040404,0.004040404040404
"Tp1",0,0,0,0.5,0,0.4040404040404,0.404040404040404
"Ym1",0.4040404040404,0.4040404040404,0,0,1.03354068900286,0,0.334879406307974
"Yp1",0,0,0.4040404040404,0.4040404040404,0,1.03354068900286,0.334879406307974
"Yo1",0.004040404040404,0.404040404040404,0.004040404040404,0.404040404040404,0.334879406307974,0.334879406307974,1.03354068900286
