"","Yp1","Yp2","Ym1","Ym2","Yo1","Yo2","Tp1","Tp2","NTp1","NTp2","Tm1","Tm2","NTm1","NTm2"
"Yp1",1.74787142077132,0.340167451445996,0.69914856830853,0.281818125166634,1.03010723226974,0.269564457484869,0.433750441889922,0.0846913160936319,0.433750441889922,0.0846913160936319,0.17064728534818,0.0512593323330136,0.17064728534818,0.0512593323330136
"Yp2",0.340167451445996,1.13597394420163,0.140909062583317,0.340792183260489,0.317575740751089,0.307401093269259,0.0634762991501258,0.144067226276504,0.0634762991501258,0.144067226276504,0.0288340955283172,0.0442010857850367,0.0288340955283172,0.0442010857850367
"Ym1",0.69914856830853,0.140909062583317,1.74787142077132,0.340167451445996,1.01813739182506,0.243098287344297,0.17340539922138,0.0344540105584843,0.17340539922138,0.0344540105584843,0.433750441889922,0.0846913160936319,0.433750441889922,0.0846913160936319
"Ym2",0.281818125166634,0.340792183260489,0.340167451445996,1.13597394420163,0.373850874163572,0.316196484810974,0.0643387602258307,0.0477580696724361,0.0643387602258307,0.0477580696724361,0.0634762991501258,0.144067226276504,0.0634762991501258,0.144067226276504
"Yo1",1.03010723226974,0.317575740751089,1.01813739182506,0.373850874163572,1.74787142077132,0.340167451445996,0.4337547623503,0.0846917953463893,0.186267388935009,0.0599430580048602,0.4337547623503,0.0846917953463893,0.186267388935009,0.0599430580048602
"Yo2",0.269564457484869,0.307401093269259,0.243098287344297,0.316196484810974,0.340167451445996,1.13597394420163,0.0634774045575687,0.144067322632171,0.0525229534074654,0.0345228111311383,0.0634774045575687,0.144067322632171,0.0525229534074654,0.0345228111311383
"Tp1",0.433750441889922,0.0634762991501258,0.17340539922138,0.0643387602258307,0.4337547623503,0.0634774045575687,0.542433373832111,0.059898546005092,0.0424333738321113,0.00989854600509198,0.0424333738321113,0.0120505647263381,0.0424333738321113,0.0120505647263381
"Tp2",0.0846913160936319,0.144067226276504,0.0344540105584843,0.0477580696724361,0.0846917953463893,0.144067322632171,0.059898546005092,0.506565525819473,0.00989854600509198,0.00656552581947294,0.0077465272838459,0.00656552581947294,0.0077465272838459,0.00656552581947294
"NTp1",0.433750441889922,0.0634762991501258,0.17340539922138,0.0643387602258307,0.186267388935009,0.0525229534074654,0.0424333738321113,0.00989854600509198,0.542433373832111,0.059898546005092,0.0424333738321113,0.0120505647263381,0.0424333738321113,0.0120505647263381
"NTp2",0.0846913160936319,0.144067226276504,0.0344540105584843,0.0477580696724361,0.0599430580048602,0.0345228111311383,0.00989854600509198,0.00656552581947294,0.059898546005092,0.506565525819473,0.0077465272838459,0.00656552581947294,0.0077465272838459,0.00656552581947294
"Tm1",0.17064728534818,0.0288340955283172,0.433750441889922,0.0634762991501258,0.4337547623503,0.0634774045575687,0.0424333738321113,0.0077465272838459,0.0424333738321113,0.0077465272838459,0.542433373832111,0.059898546005092,0.0424333738321113,0.00989854600509198
"Tm2",0.0512593323330136,0.0442010857850367,0.0846913160936319,0.144067226276504,0.0846917953463893,0.144067322632171,0.0120505647263381,0.00656552581947294,0.0120505647263381,0.00656552581947294,0.059898546005092,0.506565525819473,0.00989854600509198,0.00656552581947294
"NTm1",0.17064728534818,0.0288340955283172,0.433750441889922,0.0634762991501258,0.186267388935009,0.0525229534074654,0.0424333738321113,0.0077465272838459,0.0424333738321113,0.0077465272838459,0.0424333738321113,0.00989854600509198,0.542433373832111,0.059898546005092
"NTm2",0.0512593323330136,0.0442010857850367,0.0846913160936319,0.144067226276504,0.0599430580048602,0.0345228111311383,0.0120505647263381,0.00656552581947294,0.0120505647263381,0.00656552581947294,0.00989854600509198,0.00656552581947294,0.059898546005092,0.506565525819473
