"a11_fixed","VF11_median","VF12_median","VF22_median","VF11_mad","VF12_mad","VF22_mad"
0.649596669241483,0.197328271576656,0.164961640402726,0.086228936162918,0.0484650912472496,0.0104908616916221,0.0032202932025825
0.674596669241483,0.194280462281297,0.16340145811335,0.0857465336380812,0.0486059492240988,0.0104552627209365,0.00321184260301529
0.699596669241483,0.191453319191629,0.161921420729071,0.0852642013506361,0.0483777640406994,0.0104400007892313,0.00320526974051837
0.724596669241483,0.188608134247315,0.160407663790446,0.0847793609950128,0.0483890858654566,0.0105253229659609,0.0031874549788725
0.749596669241483,0.185920463078335,0.158929268228634,0.0842925817202117,0.0480898508058543,0.0104499496863185,0.00318149923186194
0.774596669241483,0.184256999349985,0.153555303237463,0.0828376436825305,0.0441331698334441,0.017091881882291,0.0159917260177274
0.799596669241483,0.181859794985251,0.152620682610476,0.0830998637195641,0.0438305328684679,0.0168850865896253,0.0161217225051993
0.824596669241483,0.179434813377204,0.151673655674149,0.0834631936122862,0.0436283412590218,0.0166851099124215,0.0163516839070323
0.849596669241483,0.177107781345554,0.150752941724604,0.0838259641208202,0.0434345250915521,0.0164793835216044,0.0165009864449856
0.874596669241483,0.174835408672954,0.149832758035238,0.0842316761664648,0.0431458735018913,0.01634249673031,0.0163480902463816
